TITLE,CONFERENCE,GITHUB,AWARDS
PRENDICO,ETHGlobal Istanbul,https://github.com/Le-Caignec/UNICEF,Most novel solution solving for cryptocurrencies in cash assistance
IntentBoost,ETHGlobal Istanbul,https://github.com/Gelato-B2B/Istanbul_hack,🥈 1inch — Best Innovation on Fusion API
ZKvote.cc,ETHGlobal Istanbul,https://github.com/oxor-io/zk-layer-vote,3rd Place
Blobnouns,ETHGlobal Istanbul,https://github.com/Blob-Guardians/blobtoss-cli,3rd Place
universe,ETHGlobal Istanbul,https://github.com/nichitagutu/disrupt-uni,Pool Prize
Wayve,ETHGlobal Istanbul,https://github.com/wayve-ethglobal-ist,Pool Prize
FomoGotchi,ETHGlobal Istanbul,https://github.com/DMomot/fomogotchi,Pool Prize
NextMillionaire,ETHGlobal Istanbul,https://github.com/venkatnetha/EthIstanbul-Hack/,Deploy on Scroll
StarkForge,ETHGlobal Istanbul,https://github.com/Vennila-Seshadri/StarkForge,Pool Prize
Aggeragator_Hook,ETHGlobal Istanbul,https://github.com/Attens1423/Aggregator-Hook,1st Place
Amca,ETHGlobal Istanbul,https://github.com/tahirahmadin/sleepswap-frontend-ethistanbul,API3 Runners up
Donat3,ETHGlobal Istanbul,https://github.com/seeincodes/donat3,Deploy on Scroll
BrunchClub,ETHGlobal Istanbul,https://github.com/Ferossgp/brunchclub,🏊 Filecoin — Pool Prize
Avatar,ETHGlobal Istanbul,https://github.com/karasakalmt/carbon,Innovation Pool Prize
Private Cloud,ETHGlobal Istanbul,https://github.com/filoozom/private-cloud-ipfs-waku-devconnect,🏆 Filecoin — Grand Prize
Lambda Protocol,ETHGlobal Istanbul,https://github.com/andrew54068/lambda-protocol-interface,🏊 Filecoin — Pool Prize
Keblobs,ETHGlobal Istanbul,https://github.com/awesome-abstraction/arbitrum-stylus-package,Pool Prize
Pachama-ma,ETHGlobal Istanbul,https://github.com/Pachama-ma/pachama-ma-frontend,Pool Prize
Cat cha chat,ETHGlobal Istanbul,https://github.com/social-bureau/ethglobal-istanbul-fe,Pool Prize
BlockTalk,ETHGlobal Istanbul,https://github.com/whatupjeff/blocktalk,Pool Prize
TicTacToe Agent,ETHGlobal Istanbul,https://github.com/OwnerOfJK/TicTacToeAgent,1st Place
SpicyBets,ETHGlobal Istanbul,https://github.com/MikePawel/SpicyBets,Pool Prize
PePay,ETHGlobal Istanbul,https://github.com/jonovdm/pepay,1st Place
Galata Charity Relay,ETHGlobal Istanbul,https://github.com/RebZJ/galata,Innovation Pool Prize
Prodigy Piano Diary,ETHGlobal Istanbul,https://github.com/gonzalobarria/prodigy-piano-diary.git,1st Place
ForeverKnowledgeable,ETHGlobal Istanbul,https://github.com/NomadHackers/client,Deploy on Scroll
Green$creen,ETHGlobal Istanbul,https://github.com/EGI-2023/greenscreen,Innovation Pool Prize
LavaBets,ETHGlobal Istanbul,https://github.com/eliasnemr/lava,Pool Prize
zkmap,ETHGlobal Istanbul,https://github.com/Volthai7us/eth-global-istanbul,🥇 Grand Prize
Onay,ETHGlobal Istanbul,https://github.com/OnayHQ/onay,🥇 1inch — Best Use of Dev Portal APIs
HABITS,ETHGlobal Istanbul,https://github.com/D9J9V/HABITS,Best Mobile dApp on Celo 
ZK bridge,ETHGlobal Istanbul,https://github.com/zk-bridges/l1-contracts,Innovation Pool Prize
Toxic Fl-no,ETHGlobal Istanbul,https://github.com/tredfern0/toxic-fl-no ,📒 Axiom — Best for DeFi
GaslessPOAPs,ETHGlobal Istanbul,https://github.com/Deivitto/gassless-poaps,1st Place
SaferBridge,ETHGlobal Istanbul,https://github.com/Robbiekruszynski/ist_bridge_2023,🥇 Winner
Edit Stars,ETHGlobal Istanbul,https://github.com/memduhb/editstars-fe,🏊 Filecoin — Pool Prize
WTForm,ETHGlobal Istanbul,https://github.com/WTFAcademy/WTForm,Innovation Pool Prize
DeFi Omni Dapp,ETHGlobal Istanbul,https://github.com/orgs/hackashell,3rd Place
Cabal Chat,ETHGlobal Istanbul,https://github.com/Cabal-Labs/cabal-chat,🥈 1inch — Open Track
Secure Social Swap,ETHGlobal Istanbul,https://github.com/kuntik17/eth-ist-scs,Best use of Threshold
nexus-dai,ETHGlobal Istanbul,https://github.com/Nexus-2023/nexus-dai,1st Place
MediScan,ETHGlobal Istanbul,https://github.com/MediScanHQ/mediscan-monorepo,Top 5 - Best App Built on Leo
FastSwaps,ETHGlobal Istanbul,https://github.com/sheva323/IstanbulHackathon,2nd Place
Wiser,ETHGlobal Istanbul,https://github.com/bahadircan-bc/hackathon-eth,Deploy on Scroll
HuggingLily,ETHGlobal Istanbul,https://github.com/tolgayayci/ethglobal-istanbul,🏆 Filecoin — Grand Prize
